tweet_id,fav_count,retweet_count
666020888022790149,2562,515
666029285002620928,130,47
666033412701032449,125,44
666044226329800704,299,141
666049248165822465,108,40
666050758794694657,133,58
666051853826850816,1217,848
666055525042405380,434,249
666057090499244032,297,141
666058600524156928,111,57
666063827256086533,476,218
666071193221509120,148,60
666073100786774016,322,163
666082916733198337,119,44
666094000022159362,164,73
666099513787052032,155,67
666102155909144576,80,12
666104133288665088,14316,6604
666268910803644416,103,35
666273097616637952,174,76
666287406224695296,148,64
666293911632134144,505,354
666337882303524864,198,91
666345417576210432,295,136
666353288456101888,220,72
666362758909284353,778,571
666373753744588802,189,93
666396247373291520,168,84
666407126856765440,110,40
666411507551481857,447,327
666418789513326592,126,46
666421158376562688,318,111
666428276349472768,165,83
666430724426358785,321,199
666435652385423360,166,53
666437273139982337,126,48
666447344410484738,105,20
666454714377183233,523,210
666644823164719104,234,84
666649482315059201,891,587
666691418707132416,190,47
666701168228331520,436,222
666739327293083650,239,66
666776908487630848,356,176
666781792255496192,392,200
666786068205871104,772,492
666804364988780544,243,94
666817836334096384,527,258
666826780179869698,256,98
666835007768551424,219,80
666837028449972224,832,563
666983947667116034,2596,1005
666996132027977728,248,96
667012601033924608,456,227
667044094246576128,188,51
667062181243039745,221,55
667065535570550784,169,48
667070482143944705,85,14
667073648344346624,412,125
667090893657276420,340,129
667119796878725120,334,131
667138269671505920,4705,2286
667152164079423490,48746,17649
667160273090932737,262,64
667165590075940865,2742,1180
667171260800061440,225,92
667174963120574464,252,85
667176164155375616,621,472
667177989038297088,193,56
667182792070062081,14647,6412
667188689915760640,759,429
667192066997374976,394,109
667200525029539841,626,269
667211855547486208,500,248
667369227918143488,376,167
667393430834667520,198,58
667405339315146752,474,224
667435689202614272,309,85
667437278097252352,459,246
667443425659232256,802,600
667453023279554560,320,92
667455448082227200,194,63
667470559035432960,264,100
667491009379606528,546,234
667495797102141441,538,283
667502640335572993,543,224
667509364010450944,6942,2205
667517642048163840,377,198
667524857454854144,1743,1153
667530908589760512,486,251
667534815156183040,840,556
667538891197542400,208,68
667544320556335104,890,543
667546741521195010,341,129
667549055577362432,5939,2373
667550882905632768,0,33
667550904950915073,0,35
667724302356258817,499,330
667728196545200128,383,154
667766675769573376,456,226
667773195014021121,240,58
667782464991965184,422,250
667793409583771648,718,339
667801013445750784,337,97
667806454573760512,1084,517
667832474953625600,294,63
667861340749471744,249,80
667866724293877760,3085,1073
667873844930215936,649,423
667878741721415682,401,121
667885044254572545,841,507
667886921285246976,1948,1136
667902449697558528,871,389
667911425562669056,508,315
667915453470232577,215,58
667924896115245057,308,114
667937095915278337,1309,826
668113020489474048,684,252
668142349051129856,579,298
668154635664932864,511,328
668171859951755264,505,202
668190681446379520,667,203
668204964695683073,567,201
668221241640230912,524,208
668226093875376128,310,108
668237644992782336,6405,2976
668248472370458624,1020,508
668256321989451776,1342,649
668268907921326080,571,246
668274247790391296,849,239
668286279830867968,522,142
668291999406125056,255,34
668297328638447616,637,311
668466899341221888,915,540
668480044826800133,476,154
668484198282485761,439,246
668496999348633600,423,138
668507509523615744,335,113
668528771708952576,480,235
668537837512433665,257,78
668542336805281792,479,224
668544745690562560,537,238
668567822092664832,254,61
668587383441514497,1714,1135
668614819948453888,628,328
668620235289837568,212,45
668623201287675904,1500,815
668625577880875008,406,140
668627278264475648,330,118
668631377374486528,743,333
668633411083464705,2915,1729
668636665813057536,1082,509
668641109086707712,1113,561
668643542311546881,914,555
668645506898350081,929,568
668655139528511488,547,228
668779399630725120,727,389
668815180734689280,589,284
668826086256599040,453,146
668852170888998912,466,172
668872652652679168,547,312
668892474547511297,412,160
668902994700836864,329,106
668932921458302977,277,60
668955713004314625,291,74
668960084974809088,731,248
668967877119254528,151,25
668975677807423489,1356,614
668979806671884288,820,371
668981893510119424,558,321
668986018524233728,570,176
668988183816871936,931,496
668989615043424256,704,343
668992363537309700,771,364
668994913074286592,455,244
669000397445533696,21527,6665
669006782128353280,595,261
669015743032369152,762,388
669037058363662336,679,325
669203728096960512,1039,501
669214165781868544,458,178
669216679721873412,1226,422
669324657376567296,512,215
669327207240699904,596,119
669328503091937280,1041,436
669351434509529089,455,195
669353438988365824,669,267
669354382627049472,2794,1331
669359674819481600,380,129
669363888236994561,647,240
669367896104181761,474,166
